No,Date,Close,Before Stock Date,,,,,,,,,,,
68,7/28/2020,5850,5300,5275,5275,5175,5100,5300,5425,5700,5600,5875,,
69,7/29/2020,5700,5275,5275,5175,5100,5300,5425,5700,5600,5875,5850,,
70,7/30/2020,5800,5275,5175,5100,5300,5425,5700,5600,5875,5850,5700,,
71,8/3/2020,5500,5175,5100,5300,5425,5700,5600,5875,5850,5700,5800,,
72,8/4/2020,5575,5100,5300,5425,5700,5600,5875,5850,5700,5800,5500,,
73,8/5/2020,5700,5300,5425,5700,5600,5875,5850,5700,5800,5500,5575,,
74,8/6/2020,5775,5425,5700,5600,5875,5850,5700,5800,5500,5575,5700,,
75,8/7/2020,5800,5700,5600,5875,5850,5700,5800,5500,5575,5700,5775,,
76,8/10/2020,5800,5600,5875,5850,5700,5800,5500,5575,5700,5775,5800,,
77,8/11/2020,5975,5875,5850,5700,5800,5500,5575,5700,5775,5800,5800,,
78,8/12/2020,6150,5850,5700,5800,5500,5575,5700,5775,5800,5800,5975,,
79,8/13/2020,6050,5700,5800,5500,5575,5700,5775,5800,5800,5975,6150,,
80,8/14/2020,6025,5800,5500,5575,5700,5775,5800,5800,5975,6150,6050,,
81,8/18/2020,6150,5500,5575,5700,5775,5800,5800,5975,6150,6050,6025,,
82,8/19/2020,6100,5575,5700,5775,5800,5800,5975,6150,6050,6025,6150,,
83,8/24/2020,6000,5700,5775,5800,5800,5975,6150,6050,6025,6150,6100,,
84,8/25/2020,6250,5775,5800,5800,5975,6150,6050,6025,6150,6100,6000,,
85,8/26/2020,6350,5800,5800,5975,6150,6050,6025,6150,6100,6000,6250,,
86,8/27/2020,6300,5800,5975,6150,6050,6025,6150,6100,6000,6250,6350,,
87,8/28/2020,6225,5975,6150,6050,6025,6150,6100,6000,6250,6350,6300,,
88,8/31/2020,5950,6150,6050,6025,6150,6100,6000,6250,6350,6300,6225,,
89,9/1/2020,6125,6050,6025,6150,6100,6000,6250,6350,6300,6225,5950,,
90,9/2/2020,6075,6025,6150,6100,6000,6250,6350,6300,6225,5950,6125,,
91,9/3/2020,5975,6150,6100,6000,6250,6350,6300,6225,5950,6125,6075,,
92,9/4/2020,5925,6100,6000,6250,6350,6300,6225,5950,6125,6075,5975,,
93,9/7/2020,5850,6000,6250,6350,6300,6225,5950,6125,6075,5975,5925,,
94,9/8/2020,5975,6250,6350,6300,6225,5950,6125,6075,5975,5925,5850,,
95,9/9/2020,5775,6350,6300,6225,5950,6125,6075,5975,5925,5850,5975,,
96,9/10/2020,5375,6300,6225,5950,6125,6075,5975,5925,5850,5975,5775,,
97,9/11/2020,5475,6225,5950,6125,6075,5975,5925,5850,5975,5775,5375,,
98,9/14/2020,5750,5950,6125,6075,5975,5925,5850,5975,5775,5375,5475,,
99,9/15/2020,5675,6125,6075,5975,5925,5850,5975,5775,5375,5475,5750,,
100,9/16/2020,5650,6075,5975,5925,5850,5975,5775,5375,5475,5750,5675,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
